Title,Subtitle,Content
Portfolio Management,Portfolio Management for Institutional Investors,"The candidate should be able to: 1.  discuss common characteristics of institutional investors as a group 2.  discuss investment policy of institutional investors 3.  discuss the stakeholders in the portfolio, the liabilities, the investment time horizons, and the liquidity needs of different types of institutional investors 4.  describe the focus of legal, regulatory, and tax constraints affecting different types of institutional investors 5.  evaluate risk considerations of private defined benefit (DB) pension plans in relation to 1) plan funded status, 2) sponsor financial strength, 3) interactions between the sponsor's business and the fund's investments, 4) plan design, and 5) workforce characteristics 6.  evaluate the investment policy statement of an institutional investor 7.  evaluate the investment portfolio of a private DB plan, sovereign wealth fund, university endowment, and private foundation 8.  describe considerations affecting the balance sheet management of banks and insurers"
Portfolio Management,Trade Strategy and Execution,"The candidate should be able to: 1.  discuss motivations to trade and how they relate to trading strategy 2.  discuss inputs to the selection of a trading strategy 3.  compare benchmarks for trade execution 4.  recommend and justify a trading strategy (given relevant facts) 5.  describe factors that typically determine the selection of a trading algorithm class 6.  contrast key characteristics of the following markets in relation to trade implementation: equity, fixed income, options and futures, OTC derivatives, and spot currency 7.  explain how trade costs are measured and determine the cost of a trade 8.  evaluate the execution of a trade 9.  evaluate a firm's trading procedures, including processes, disclosures, and record keeping with respect to good governance"
Portfolio Management,Portfolio Performance Evaluation,"The candidate should be able to: 1.  explain the following components of portfolio evaluation and their interrelationships: performance measurement, performance attribution, and performance appraisal 2.  describe attributes of an effective attribution process 3.  contrast return attribution and risk attribution; contrast macro and micro return attribution 4.  describe returns-based, holdings-based, and transactions-based performance attribution, including advantages and disadvantages of each 5.  interpret the sources of portfolio returns using a specified attribution approach 6.  interpret the output from fixed-income attribution analyses 7.  discuss considerations in selecting a risk attribution approach 8.  identify and interpret investment results attributable to the asset owner versus those attributable to the investment manager 9.  discuss uses of liability-based benchmarks 10.  describe types of asset-based benchmarks 11.  discuss tests of benchmark quality 12.  describe the impact of benchmark misspecification on attribution and appraisal analysis 13.  describe problems that arise in benchmarking alternative investments 14.  calculate and interpret the Sortino ratio, the appraisal ratio, upside/downside capture ratios, maximum drawdown, and drawdown duration 15.  describe limitations of appraisal measures and related metrics 16.  evaluate the skill of an investment manager"
Portfolio Management,Investment Manager Selection,"The candidate should be able to: 1.  describe the components of a manager selection process, including due diligence 2.  contrast Type I and Type II errors in manager hiring and continuation decisions 3.  describe uses of returns-based and holdings-based style analysis in investment manager selection 4.  describe uses of the upside capture ratio, downside capture ratio, maximum drawdown, drawdown duration, and up/down capture in evaluating managers 5.  evaluate a manager's investment philosophy and investment decision-making process 6.  evaluate the costs and benefits of pooled investment vehicles and separate accounts 7.  compare types of investment manager contracts, including their major provisions and advantages and disadvantages "
Portfolio Management,Case Study in Risk Management: Institutional,The candidate should be able to: 1.  discuss financial risks associated with the portfolio strategy of an institutional investor 2.  discuss environmental and social risks associated with the portfolio strategy of an institutional investor 3.  analyze and evaluate the financial and non-financial risk exposures in the portfolio strategy of an institutional investor 4.  discuss various methods to manage the risks that arise on long-term direct investments of an institutional investor 5.  evaluate strengths and weaknesses of an enterprise risk management system and recommend improvements
Derivatives,Options Strategies,"The candidate should be able to: 1.  demonstrate how an asset's returns may be replicated by using options 2.  discuss the investment objective(s), structure, payoff, risk(s), value at expiration, profit, maximum profit, maximum loss, and breakeven underlying price at expiration of a covered call position 3.  discuss the investment objective(s), structure, payoff, risk(s), value at expiration, profit, maximum profit, maximum loss, and breakeven underlying price at expiration of a protective put position 4.  compare the delta of covered call and protective put positions with the position of being long an asset and short a forward on the underlying asset 5.  compare the effect of buying a call on a short underlying position with the effect of selling a put on a short underlying position 6.  discuss the investment objective(s), structure, payoffs, risk(s), value at expiration, profit, maximum profit, maximum loss, and breakeven underlying price at expiration of the following option strategies: bull spread, bear spread, straddle, and collar 7.  describe uses of calendar spreads 8.  discuss volatility skew and smile 9.  identify and evaluate appropriate option strategies consistent with given investment objectives 10.  demonstrate the use of options to achieve targeted equity risk exposures"
Swaps Forwards and Futures Strategies,The candidate should be able to:,"1.  demonstrate how interest rate swaps, forwards, and futures can be used to modify a portfolio's risk and return 2.  demonstrate how currency swaps, forwards, and futures can be used to modify a portfolio's risk and return 3.  demonstrate how equity swaps, forwards, and futures can be used to modify a portfolio's risk and return 4.  demonstrate the use of volatility derivatives and variance swaps 5.  demonstrate the use of derivatives to achieve targeted equity and interest rate risk exposures 6.  demonstrate the use of derivatives in asset allocation, rebalancing, and inferring market expectations"
Fixed Income,Overview of Fixed-Income Portfolio Management,"The candidate should be able to: 1.  discuss roles of fixed-income securities in portfolios and how fixed-income mandates may be classified 2.  describe fixed-income portfolio measures of risk and return as well as correlation characteristics 3.  describe bond market liquidity, including the differences among market sub-sectors, and discuss the effect of liquidity on fixed-income portfolio management 4.  describe and interpret a model for fixed-income returns 5.  discuss the use of leverage, alternative methods for leveraging, and risks that leverage creates in fixed-income portfolios 6.  discuss differences in managing fixed-income portfolios for taxable and tax-exempt investors"
Fixed Income,Liability-Driven and Index-Based Strategies,"The candidate should be able to: 1.  describe liability-driven investing 2.  evaluate strategies for managing a single liability 3.  compare strategies for a single liability and for multiple liabilities, including alternative means of implementation 4.  describe construction, benefits, limitations, and risk-return characteristics of a laddered bond portfolio 5.  evaluate liability-based strategies under various interest rate scenarios and select a strategy to achieve a portfolio's objectives 6.  explain risks associated with managing a portfolio against a liability structure 7.  discuss bond indexes and the challenges of managing a fixed-income portfolio to mimic the characteristics of a bond index 8.  compare alternative methods for establishing bond market exposure passively 9.  discuss criteria for selecting a benchmark and justify the selection of a benchmark"
Fixed Income,Yield Curve Strategies,"The candidate should be able to: 1.  describe the factors affecting fixed-income portfolio returns due to a change in benchmark yields 2.  formulate a portfolio positioning strategy given forward interest rates and an interest rate view that coincides with the market view 3.  formulate a portfolio positioning strategy given forward interest rates and an interest rate view that diverges from the market view in terms of rate level, slope, and shape 4.  formulate a portfolio positioning strategy based upon expected changes in interest rate volatility 5.  evaluate a portfolio's sensitivity using key rate durations of the portfolio and its benchmark 6.  discuss yield curve strategies across currencies 7.  evaluate the expected return and risks of a yield curve strategy"
Fixed Income,Fixed-Income Active Management: Credit Strategies,"The candidate should be able to: 1.  describe risk considerations for spread-based fixed-income portfolios 2.  discuss the advantages and disadvantages of credit spread measures for spread-based fixed-income portfolios, and explain why option-adjusted spread is considered the most appropriate measure 3.  discuss bottom-up approaches to credit strategies 4.  discuss top-down approaches to credit strategies 5.  discuss liquidity risk in credit markets and how liquidity risk can be managed in a credit portfolio 6.  describe how to assess and manage tail risk in credit portfolios 7.  discuss the use of credit default swap strategies in active fixed-income portfolio management 8.  discuss various portfolio positioning strategies that managers can use to implement a specific credit spread view 9.  discuss considerations in constructing and managing portfolios across international credit markets 10.  describe the use of structured financial instruments as an alternative to corporate bonds in credit portfolios 11.  describe key inputs, outputs, and considerations in using analytical tools to manage fixed-income portfolios"
Equity Investments,Overview of Equity Portfolio Management,The candidate should be able to: 1.  describe the roles of equities in the overall portfolio 2.  describe how an equity manager's investment universe can be segmented 3.  describe the types of income and costs associated with owning and managing an equity portfolio and their potential effects on portfolio performance 4.  describe the potential benefits of shareholder engagement and the role an equity manager might play in shareholder engagement 5.  describe rationales for equity investment across the passive-active spectrum
Equity Investments,Passive Equity Investing,"The candidate should be able to: 1.  discuss considerations in choosing a benchmark for a passively managed equity portfolio 2.  compare passive factor-based strategies to market-capitalization-weighted indexing 3.  compare different approaches to passive equity investing 4.  compare the full replication, stratified sampling, and optimization approaches for the construction of passively managed equity portfolios 5.  discuss potential causes of tracking error and methods to control tracking error for passively managed equity portfolios 6.  explain sources of return and risk to a passively managed equity portfolio"
Equity Investments,Active Equity Investing: Strategies,"The candidate should be able to: 1.  compare fundamental and quantitative approaches to active management 2.  analyze bottom-up active strategies, including their rationale and associated processes 3.  analyze top-down active strategies, including their rationale and associated processes 4.  analyze factor-based active strategies, including their rationale and associated processes 5.  analyze activist strategies, including their rationale and associated processes 6.  describe active strategies based on statistical arbitrage and market microstructure 7.  describe how fundamental active investment strategies are created 8.  describe how quantitative active investment strategies are created 9.  discuss equity investment style classifications"
Equity Investments,Active Equity Investing: Portfolio Construction,"The candidate should be able to: 1.  describe elements of a manager's investment philosophy that influence the portfolio construction process 2.  discuss approaches for constructing actively managed equity portfolios 3.  distinguish between Active Share and active risk and discuss how each measure relates to a manager's investment strategy 4.  discuss the application of risk budgeting concepts in portfolio construction 5.  discuss risk measures that are incorporated in equity portfolio construction and describe how limits set on these measures affect portfolio construction 6.  discuss how assets under management, position size, market liquidity, and portfolio turnover affect equity portfolio construction decisions 7.  evaluate the efficiency of a portfolio structure given its investment mandate 8.  discuss the long-only, long extension, long/short, and equitized market-neutral approaches to equity portfolio construction, including their risks, costs, and effects on potential alphas"
Alternative Investments,Hedge Fund Strategies,"The candidate should be able to: 1.  discuss how hedge fund strategies may be classified 2.  discuss investment characteristics, strategy implementation, and role in a portfolio of equity-related hedge fund strategies 3.  discuss investment characteristics, strategy implementation, and role in a portfolio of event-driven hedge fund strategies 4.  discuss investment characteristics, strategy implementation, and role in a portfolio of relative value hedge fund strategies 5.  discuss investment characteristics, strategy implementation, and role in a portfolio of opportunistic hedge fund strategies 6.  discuss investment characteristics, strategy implementation, and role in a portfolio of specialist hedge fund strategies 7.  discuss investment characteristics, strategy implementation, and role in a portfolio of multi-manager hedge fund strategies 8.  evaluate the impact of an allocation to a hedge fund strategy in a traditional investment portfolio"
Alternative Investments,Asset Allocation to Alternative Investments,"The candidate should be able to: 1.  explain the roles that alternative investments play in multi-asset portfolios 2.  compare alternative investments and bonds as risk mitigators in relation to a long equity position 3.  compare traditional and risk-based approaches to defining the investment opportunity set, including alternative investments 4.  discuss investment considerations that are important in allocating to different types of alternative investments 5.  discuss suitability considerations in allocating to alternative investments 6.  discuss approaches to asset allocation to alternative investments 7.  discuss the importance of liquidity planning in allocating to alternative investments 8.  discuss considerations in monitoring alternative investment programs"
Alternative Investments,Asset Manager Code of Professional Conduct,The candidate should be able to: 1.  explain the purpose of the Asset Manager Code and the benefits that may accrue to a firm that adopts the Code 2.  explain the ethical and professional responsibilities required by the six General Principles of Conduct of the Asset Manager Code 3.  determine whether an asset manager's practices and procedures are consistent with the Asset Manager Code 4.  recommend practices and procedures designed to prevent violations of the Asset Manager Code
Alternative Investments,Overview of the Global Investment Performance Standards,"The candidate should be able to: 1.  discuss the objectives and scope of the GIPS standards and their benefits to prospective clients and investors, as well as investment managers 2.  discuss requirements of the GIPS standards with respect to return calculation methodologies, including the treatment of external cash flows, cash and cash equivalents, and expenses and fees 3.  explain the recommended valuation hierarchy of the GIPS standards 4.  explain requirements of the GIPS standards with respect to composite return calculations, including methods for asset-weighting portfolio returns 5.  explain the meaning of ""discretionary"" in the context of composite construction and, given a description of the relevant facts, determine whether a portfolio is likely to be considered discretionary 6.  explain the role of investment mandates, objectives, or strategies in the construction of composites 7.  explain requirements of the GIPS standards with respect to composite construction, including switching portfolios among composites, the timing of the inclusion of new portfolios in composites, and the timing of the exclusion of terminated portfolios from composites 8.  explain requirements of the GIPS standards with respect to presentation and reporting 9.  explain the conditions under which the performance of a past firm or affiliation may be linked to or used to represent the historical performance of a new or acquiring firm 10.  discuss the purpose, scope, and process of verification"
Alternative Investments,Ethical and Professional Standards,The candidate should be able to: 1.  describe the structure of the 
Ethical and Professional Standards,Code of Ethics and Standards of Professional Conduct,The candidate should be able to: 1.  describe the structure of the 
