Title,Subtitle,Content
Portfolio Management,Basics of Portfolio Planning and Construction,"The candidate should be able to: 1.  describe the reasons for a written investment policy statement (IPS) 2.  describe the major components of an IPS 3.  describe risk and return objectives and how they may be developed for a client 4.  explain the difference between the willingness and the ability (capacity) to take risk in analyzing an investor's financial risk tolerance 5.  describe the investment constraints of liquidity, time horizon, tax concerns, legal and regulatory factors, and unique circumstances and their implications for the choice of portfolio assets 6.  explain the specification of asset classes in relation to asset allocation 7.  describe the principles of portfolio construction and the role of asset allocation in relation to the IPS 8.  describe how environmental, social, and governance (ESG) considerations may be integrated into portfolio planning and construction"
Portfolio Management,The Behavioral Biases of Individuals,The candidate should be able to: 1.  compare and contrast cognitive errors and emotional biases 2.  discuss commonly recognized behavioral biases and their implications for financial decision making 3.  describe how behavioral biases of investors can lead to market characteristics that may not be explained by traditional finance
Portfolio Management,Introduction to Risk Management,The candidate should be able to: 1.  define risk management 2.  describe features of a risk management framework 3.  define risk governance and describe elements of effective risk governance 4.  explain how risk tolerance affects risk management 5.  describe risk budgeting and its role in risk governance 6.  identify financial and non-financial sources of risk and describe how they may interact 7.  describe methods for measuring and modifying risk exposures and factors to consider in choosing among the methods
Corporate Issuers,"Organizational Forms, Corporate Issuer Features, and Ownership",The candidate should be able to: 1.  compare the organizational forms of businesses 2.  describe key features of corporate issuers 3.  compare publicly and privately owned corporate issuers
Corporate Issuers,Investors and Other Stakeholders,"The candidate should be able to: 1.  compare the financial claims and motivations of lenders and shareholders 2.  describe a company's stakeholder groups and compare their interests 3.  describe environmental, social, and governance factors of corporate issuers considered by investors"
Corporate Issuers,"Corporate Governance: Conflicts, Mechanisms, Risks, and Benefits",The candidate should be able to: 1.  describe the principal-agent relationship and conflicts that may arise between stakeholder groups 2.  describe corporate governance and mechanisms to manage stakeholder relationships and mitigate associated risks 3.  describe potential risks of poor corporate governance and stakeholder management and benefits of effective corporate governance and stakeholder management
Corporate Issuers,Working Capital and Liquidity,The candidate should be able to: 1.  explain the cash conversion cycle and compare issuers' cash conversion cycles 2.  explain liquidity and compare issuers' liquidity levels 3.  describe issuers' objectives and compare methods for managing working capital and liquidity
Corporate Issuers,Capital Investments and Capital Allocation,"The candidate should be able to: 1.  describe types of capital investments 2.  describe the capital allocation process, calculate net present value (NPV), internal rate of return (IRR), and return on invested capital (ROIC), and contrast their use in capital allocation 3.  describe principles of capital allocation and common capital allocation pitfalls 4.  describe types of real options relevant to capital investments"
Corporate Issuers,Capital Structure,The candidate should be able to: 1.  calculate and interpret the weighted-average cost of capital for a company 2.  explain factors affecting capital structure and the weighted-average cost of capital 3.  explain the Modigliani-Miller propositions regarding capital structure 4.  describe optimal and target capital structures
Corporate Issuers,Business Models,The candidate should be able to: 1.  describe key features of business models 2.  describe various types of business models
Financial Statement Analysis,Introduction to Financial Statement Analysis,"The candidate should be able to: 1.  describe the steps in the financial statement analysis framework 2.  describe the roles of financial statement analysis 3.  describe the importance of regulatory filings, financial statement notes and supplementary information, management's commentary, and audit reports 4.  describe implications for financial analysis of alternative financial reporting systems and the importance of monitoring developments in financial reporting standards 5.  describe information sources that analysts use in financial statement analysis besides annual and interim financial reports"
Financial Statement Analysis,Analyzing Income Statements,"The candidate should be able to: 1.  describe general principles of revenue recognition, specific revenue recognition applications, and implications of revenue recognition choices for financial analysis 2.  describe general principles of expense recognition, specific expense recognition applications, implications of expense recognition choices for financial analysis and contrast costs that are capitalized versus those that are expensed in the period in which they are incurred 3.  describe the financial reporting treatment and analysis of non-recurring items (including discontinued operations, unusual or infrequent items) and changes in accounting policies 4.  describe how earnings per share is calculated and calculate and interpret a company's basic and diluted earnings per share for companies with simple and complex capital structures including those with antidilutive securities 5.  evaluate a company's financial performance using common-size income statements and financial ratios based on the income statement"
Financial Statement Analysis,Analyzing Balance Sheets,The candidate should be able to: 1.  explain the financial reporting and disclosures related to intangible assets 2.  explain the financial reporting and disclosures related to goodwill 3.  explain the financial reporting and disclosures related to financial instruments 4.  explain the financial reporting and disclosures related to non-current liabilities 5.  calculate and interpret common-size balance sheets and related financial ratios
Financial Statement Analysis,Analyzing Statements of Cash Flows I,"The candidate should be able to: 1.  describe how the cash flow statement is linked to the income statement and the balance sheet 2.  describe the steps in the preparation of direct and indirect cash flow statements, including how cash flows can be computed using income statement and balance sheet data 3.  demonstrate the conversion of cash flows from the indirect to direct method 4.  contrast cash flow statements prepared under International Financial Reporting Standards (IFRS) and US generally accepted accounting principles (US GAAP)"
Financial Statement Analysis,Analyzing Statements of Cash Flows II,"The candidate should be able to: 1.  analyze and interpret both reported and common-size cash flow statements 2.  calculate and interpret free cash flow to the firm, free cash flow to equity, and performance and coverage cash flow ratios"
Financial Statement Analysis,Analysis of Inventories,The candidate should be able to: 1.  describe the measurement of inventory at the lower of cost and net realisable value and its implications for financial statements and ratios 2.  calculate and explain how inflation and deflation of inventory costs affect the financial statements and ratios of companies that use different inventory valuation methods 3.  describe the presentation and disclosures relating to inventories and explain issues that analysts should consider when examining a company's inventory disclosures and other sources of information
Financial Statement Analysis,Analysis of Long-Term Assets,"The candidate should be able to: 1.  compare the financial reporting of the following types of intangible assets: purchased, internally developed, and acquired in a business combination 2.  explain and evaluate how impairment and derecognition of property, plant, and equipment and intangible assets affect the financial statements and ratios 3.  analyze and interpret financial statement disclosures regarding property, plant, and equipment and intangible assets Financial Statement Analysis"
Financial Statement Analysis,Topics in Long-Term Liabilities and Equity,"The candidate should be able to: 1.  explain the financial reporting of leases from the perspectives of lessors and lessees 2.  explain the financial reporting of defined contribution, defined benefit, and stock-based compensation plans 3.  describe the financial statement presentation of and disclosures relating to long-term liabilities and share-based compensation"
Financial Statement Analysis,Analysis of Income Taxes,"The candidate should be able to: 1.  contrast accounting profit, taxable income, taxes payable, and income tax expense and temporary versus permanent differences between accounting profit and taxable income 2.  explain how deferred tax liabilities and assets are created and the factors that determine how a company's deferred tax liabilities and assets should be treated for the purposes of financial analysis 3.  calculate, interpret, and contrast an issuer's effective tax rate, statutory tax rate, and cash tax rate 4.  analyze disclosures relating to deferred tax items and the effective tax rate reconciliation and explain how information included in these disclosures affects a company's financial statements and financial ratios"
Financial Statement Analysis,Financial Reporting Quality,"The candidate should be able to: 1.  compare financial reporting quality with the quality of reported results (including quality of earnings, cash flow, and balance sheet items) 2.  describe a spectrum for assessing financial reporting quality 3.  explain the difference between conservative and aggressive accounting 4.  describe motivations that might cause management to issue financial reports that are not high quality and conditions that are conducive to issuing low-quality, or even fraudulent, financial reports 5.  describe mechanisms that discipline financial reporting quality and the potential limitations of those mechanisms 6.  describe presentation choices, including non-GAAP measures, that could be used to influence an analyst's opinion 7.  describe accounting methods (choices and estimates) that could be used to manage earnings, cash flow, and balance sheet items 8.  describe accounting warning signs and methods for detecting manipulation of information in financial reports"
Financial Statement Analysis,Financial Analysis Techniques,"The candidate should be able to: 1.  describe tools and techniques used in financial analysis, including their uses and limitations 2.  calculate and interpret activity, liquidity, solvency, and profitability ratios 3.  describe relationships among ratios and evaluate a company using ratio analysis 4.  demonstrate the application of DuPont analysis of return on equity and calculate and interpret effects of changes in its components 5.  describe the uses of industry-specific ratios used in financial analysis 6.  describe how ratio analysis and other techniques can be used to model and forecast earnings"
Financial Statement Analysis,Introduction to Financial Statement Modeling,The candidate should be able to: 1.  demonstrate the development of a sales-based pro forma company model 2.  explain how behavioral factors affect analyst forecasts and recommend remedial actions for analyst biases 3.  explain how the competitive position of a company based on a Porter's five forces analysis affects prices and costs 4.  explain how to forecast industry and company sales and costs when they are subject to price inflation or deflation 5.  explain considerations in the choice of an explicit forecast horizon and an analyst's choices in developing projections beyond the short-term forecast horizon
Equity Investments,Market Organization and Structure,"The candidate should be able to: 1.  explain the main functions of the financial system 2.  describe classifications of assets and markets 3.  describe the major types of securities, currencies, contracts, commodities, and real assets that trade in organized markets, including their distinguishing characteristics and major subtypes 4.  describe types of financial intermediaries and services that they provide 5.  compare positions an investor can take in an asset 6.  calculate and interpret the leverage ratio, the rate of return on a margin transaction, and the security price at which the investor would receive a margin call 7.  compare execution, validity, and clearing instructions 8.  compare market orders with limit orders 9.  define primary and secondary markets and explain how secondary markets support primary markets 10.  describe how securities, contracts, and currencies are traded in quote-driven, order-driven, and brokered markets 11.  describe characteristics of a well-functioning financial system 12.  describe objectives of market regulation"
Equity Investments,Security Market Indexes,"The candidate should be able to: 1.  describe a security market index © CFA Institute. For candidate use only. Not for distribution. 2.  calculate and interpret the value, price return, and total return of an index 3.  describe the choices and issues in index construction and management 4.  compare the different weighting methods used in index construction 5.  calculate and analyze the value and return of an index given its weighting method 6.  describe rebalancing and reconstitution of an index 7.  describe uses of security market indexes 8.  describe types of equity indexes 9.  compare types of security market indexes 10.  describe types of fixed-income indexes 11.  describe indexes representing alternative investments"
Equity Investments,Market Efficiency,"The candidate should be able to: 1.  describe market efficiency and related concepts, including their importance to investment practitioners 2.  contrast market value and intrinsic value 3.  explain factors that affect a market's efficiency 4.  contrast weak-form, semi-strong-form, and strong-form market efficiency 5.  explain the implications of each form of market efficiency for fundamental analysis, technical analysis, and the choice between active and passive portfolio management 6.  describe market anomalies 7.  describe behavioral finance and its potential relevance to understanding market anomalies"
Equity Investments,Overview of Equity Securities,"The candidate should be able to: 1.  describe characteristics of types of equity securities 2.  describe differences in voting rights and other ownership characteristics among different equity classes 3.  compare and contrast public and private equity securities 4.  describe methods for investing in non-domestic equity securities 5.  compare the risk and return characteristics of different types of equity securities 6.  explain the role of equity securities in the financing of a company's assets 7.  contrast the market value and book value of equity securities 8.  compare a company's cost of equity, its (accounting) return on equity, and investors' required rates of return"
Equity Investments,Company Analysis: Past and Present,"The candidate should be able to: 1.  describe the elements that should be covered in a thorough company research report 2.  determine a company's business model 3.  evaluate a company's revenue and revenue drivers, including pricing power 4.  evaluate a company's operating profitability and working capital using key measures 5.  evaluate a company's capital investments and capital structure"
Equity Investments,Industry and Competitive Analysis,"The candidate should be able to: 1.  describe the purposes of, and steps involved in, industry and competitive analysis 2.  describe industry classification methods and compare methods by which companies can be grouped 3.  determine an industry's size, growth characteristics, profitability, and market share trends 4.  analyze an industry's structure and external influences using Porter's Five Forces and PESTLE frameworks 5.  evaluate the competitive strategy and position of a company"
Equity Investments,Company Analysis: Forecasting,The candidate should be able to: 1.  explain principles and approaches to forecasting a company's financial results and position 2.  explain approaches to forecasting a company's revenues 3.  explain approaches to forecasting a company's operating expenses and working capital 4.  explain approaches to forecasting a company's capital investments and capital structure 5.  describe the use of scenario analysis in forecasting
Equity Investments,Equity Valuation: Concepts and Basic Tools,"The candidate should be able to: 1.  evaluate whether a security, given its current market price and a value estimate, is overvalued, fairly valued, or undervalued by the market 2.  describe major categories of equity valuation models 3.  describe regular cash dividends, extra dividends, stock dividends, stock splits, reverse stock splits, and share repurchases 4.  describe dividend payment chronology 5.  explain the rationale for using present value models to value equity and describe the dividend discount and free-cash-flow-to-equity models 6.  explain advantages and disadvantages of each category of valuation model 7.  calculate the intrinsic value of a non-callable, non-convertible preferred stock 8.  calculate and interpret the intrinsic value of an equity security based on the Gordon (constant) growth dividend discount model or a two-stage dividend discount model, as appropriate 9.  identify characteristics of companies for which the constant growth or a multistage dividend discount model is appropriate 10.  explain the rationale for using price multiples to value equity, how the price to earnings multiple relates to fundamentals, and the use of multiples based on comparables 11.  calculate and interpret the following multiples: price to earnings, price to an estimate of operating cash flow, price to sales, and price to book value 12.  describe enterprise value multiples and their use in estimating equity value 13.  describe asset-based valuation models and their use in estimating equity value"
Fixed Income,Fixed-Income Instrument Features,The candidate should be able to: 1.  describe the features of a fixed-income security 2.  describe the contents of a bond indenture and contrast affirmative and negative covenants
Fixed Income,Fixed-Income Cash Flows and Types,"The candidate should be able to: 1.  describe common cash flow structures of fixed-income instruments and contrast cash flow contingency provisions that benefit issuers and investors 2.  describe how legal, regulatory, and tax considerations affect the issuance and trading of fixed-income securities"
Fixed Income,Fixed-Income Issuance and Trading,The candidate should be able to: 1.  describe fixed-income market segments and their issuer and investor participants 2.  describe types of fixed-income indexes 3.  compare primary and secondary fixed-income markets to equity markets
Fixed Income,Fixed-Income Markets for Corporate Issuers,"The candidate should be able to: 1.  compare short-term funding alternatives available to corporations and financial institutions 2.  describe repurchase agreements (repos), their uses, and their benefits and risks 3.  contrast the long-term funding of investment-grade versus high-yield corporate issuers"
Fixed Income,Fixed-Income Markets for Government Issuers,"The candidate should be able to: 1.  describe funding choices by sovereign and non-sovereign governments, quasi-government entities, and supranational agencies 2.  contrast the issuance and trading of government and corporate fixed-income instruments"
Fixed Income,Fixed-Income Bond Valuation: Prices and Yields,"The candidate should be able to: 1.  calculate a bond's price given a yield-to-maturity on or between coupon dates 2.  identify the relationships among a bond's price, coupon rate, maturity, and yield-to-maturity 3.  describe matrix pricing"
Fixed Income,Yield and Yield Spread Measures for Fixed-Rate Bonds,"The candidate should be able to: 1.  calculate annual yield on a bond for varying compounding periods in a year 2.  compare, calculate, and interpret yield and yield spread measures for fixed-rate bonds"
Fixed Income,Yield and Yield Spread Measures for Floating-Rate Instruments,"The candidate should be able to: 1.  calculate and interpret yield spread measures for floating-rate instruments 2.  calculate and interpret yield measures for money market instruments The Term Structure of Interest Rates: Spot, Par, and Forward Curves The candidate should be able to: 3.  define spot rates and the spot curve, and calculate the price of a bond using spot rates 4.  define par and forward rates, and calculate par rates, forward rates from spot rates, spot rates from forward rates, and the price of a bond using forward rates 5.  compare the spot curve, par curve, and forward curve"
Fixed Income,Interest Rate Risk and Return,"The candidate should be able to: 1.  calculate and interpret the sources of return from investing in a fixed-rate bond; 2.  describe the relationships among a bond's holding period return, its Macaulay duration, and the investment horizon; 3.  define, calculate, and interpret Macaulay duration."
Fixed Income,Yield-Based Bond Duration Measures and Properties,"The candidate should be able to: 1.  define, calculate, and interpret modified duration, money duration, and the price value of a basis point (PVBP) 2.  explain how a bond's maturity, coupon, and yield level affect its interest rate risk"
Fixed Income,Yield-Based Bond Convexity and Portfolio Properties,"The candidate should be able to: 1.  calculate and interpret convexity and describe the convexity adjustment 2.  calculate the percentage price change of a bond for a specified change in yield, given the bond's duration and convexity 3.  calculate portfolio duration and convexity and explain the limitations of these measures"
Fixed Income,Curve-Based and Empirical Fixed-Income Risk Measures,"The candidate should be able to: 1.  explain why effective duration and effective convexity are the most appropriate measures of interest rate risk for bonds with embedded options 2.  calculate the percentage price change of a bond for a specified change in benchmark yield, given the bond's effective duration and convexity 3.  define key rate duration and describe its use to measure price sensitivity of fixed-income instruments to benchmark yield curve changes 4.  describe the difference between empirical duration and analytical duration"
Fixed Income,Credit Risk,"The candidate should be able to: 1.  describe credit risk and its components, probability of default and loss given default 2.  describe the uses of ratings from credit rating agencies and their limitations 3.  describe macroeconomic, market, and issuer-specific factors that influence the level and volatility of yield spreads"
Fixed Income,Credit Analysis for Government Issuers,The candidate should be able to: 1.  explain special considerations when evaluating the credit of sovereign and non-sovereign government debt issuers and issues
Fixed Income,Credit Analysis for Corporate Issuers,"The candidate should be able to: 1.  describe the qualitative and quantitative factors used to evaluate a corporate borrower's creditworthiness 2.  calculate and interpret financial ratios used in credit analysis 3.  describe the seniority rankings of debt, secured versus unsecured debt and the priority of claims in bankruptcy, and their impact on credit ratings"
Fixed Income,Fixed-Income Securitization,"The candidate should be able to: 1.  explain benefits of securitization for issuers, investors, economies, and financial markets 2.  describe securitization, including the parties and the roles they play"
Fixed Income,Asset-Backed Security (ABS) Instrument and Market Features,"The candidate should be able to: 1.  describe characteristics and risks of covered bonds and how they differ from other asset-backed securities 2.  describe typical credit enhancement structures used in securitizations 3.  describe types and characteristics of non-mortgage asset-backed securities, including the cash flows and risks of each type 4.  describe collateralized debt obligations, including their cash flows and risks"
Fixed Income,Mortgage-Backed Security (MBS) Instrument and Market Features,"The candidate should be able to: 1.  define prepayment risk and describe time tranching structures in securitizations and their purpose 2.  describe fundamental features of residential mortgage loans that are securitized 3.  describe types and characteristics of residential mortgage-backed securities, including mortgage pass-through securities and collateralized mortgage obligations, and explain the cash flows and risks for each type 4.  describe characteristics and risks of commercial mortgage-backed securities"
Derivatives,Derivative Instrument and Derivative Market Features,"The candidate should be able to: 1.  define a derivative and describe basic features of a derivative instrument 2.  describe the basic features of derivative markets, and contrast over-the-counter and exchange-traded derivative markets"
Derivatives,Forward Commitment and Contingent Claim Features and Instruments,"The candidate should be able to: 1.  define forward contracts, futures contracts, swaps, options (calls and puts), and credit derivatives and compare their basic characteristics 2.  determine the value at expiration and profit from a long or a short position in a call or put option 3.  contrast forward commitments with contingent claims"
Derivatives,"Derivative Benefits, Risks, and Issuer and Investor Uses",The candidate should be able to: 1.  describe benefits and risks of derivative instruments 2.  compare the use of derivatives among issuers and investors
Derivatives,"Arbitrage, Replication, and the Cost of Carry in Pricing Derivatives",The candidate should be able to: 1.  explain how the concepts of arbitrage and replication are used in pricing derivatives Derivatives 2.  explain the difference between the spot and expected future price of an underlying and the cost of carry associated with holding the underlying asset
Derivatives,Pricing and Valuation of Forward Contracts and for an Underlying with Varying Maturities,"The candidate should be able to: 1.  explain how the value and price of a forward contract are determined at initiation, during the life of the contract, and at expiration 2.  explain how forward rates are determined for interest rate forward contracts and describe the uses of these forward rates."
Derivatives,Pricing and Valuation of Futures Contracts,The candidate should be able to: 1.  compare the value and price of forward and futures contracts 2.  explain why forward and futures prices differ
Derivatives,Pricing and Valuation of Interest Rates and Other Swaps,The candidate should be able to: 1.  describe how swap contracts are similar to but different from a series of forward contracts 2.  contrast the value and price of swaps
Derivatives,Pricing and Valuation of Options,"The candidate should be able to: 1.  explain the exercise value, moneyness, and time value of an option 2.  contrast the use of arbitrage and replication concepts in pricing forward commitments and contingent claims 3.  identify the factors that determine the value of an option and describe how each factor affects the value of an option"
Derivatives,Option Replication Using Put-Call Parity,The candidate should be able to: 1.  explain put-call parity for European options 2.  explain put-call forward parity for European options
Derivatives,Valuing a Derivative Using a One-Period Binomial Model,The candidate should be able to: 1.  explain how to value a derivative using a one-period binomial model 2.  describe the concept of risk neutrality in derivatives pricing
Alternative Investments,"Alternative Investment Features, Methods, and Structures","The candidate should be able to: 1.  describe features and categories of alternative investments 2.  compare direct investment, co-investment, and fund investment methods for alternative investments 3.  describe investment ownership and compensation structures commonly used in alternative investments"
Alternative Investments,Alternative Investment Performance and Returns,The candidate should be able to: 1.  describe the performance appraisal of alternative investments 2.  calculate and interpret alternative investment returns both before and after fees
Alternative Investments,Investments in Private Capital: Equity and Debt,The candidate should be able to: 1.  explain features of private equity and its investment characteristics 2.  explain features of private debt and its investment characteristics 3.  describe the diversification benefits that private capital can provide
Alternative Investments,Real Estate and Infrastructure,The candidate should be able to: 1.  explain features and characteristics of real estate 2.  explain the investment characteristics of real estate investments Alternative Investments 3.  explain features and characteristics of infrastructure 4.  explain the investment characteristics of infrastructure investments
Alternative Investments,Natural Resources,"The candidate should be able to: 1.  explain features of raw land, timberland, and farmland and their investment characteristics 2.  describe features of commodities and their investment characteristics 3.  analyze sources of risk, return, and diversification among natural resource investments"
Alternative Investments,Hedge Funds,"The candidate should be able to: 1.  explain investment features of hedge funds and contrast them with other asset classes 2.  describe investment forms and vehicles used in hedge fund investments 3.  analyze sources of risk, return, and diversification among hedge fund investments"
Alternative Investments,Introduction to Digital Assets,"The candidate should be able to: 1.  describe financial applications of distributed ledger technology 2.  explain investment features of digital assets and contrast them with other asset classes 3.  describe investment forms and vehicles used in digital asset investments 4.  analyze sources of risk, return, and diversification among digital asset investments"
